"filename", "language", "Rust", "Python", "C++", "JSON", "C#", "TypeScript", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\phase_orchestrator.rs", "Rust", 35, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\system_context.rs", "Rust", 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\system_registry.rs", "Rust", 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\tests\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\phase_orchestrator\tests\test_phase_orchestrator.rs", "Rust", 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\query_cache.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\query_engine.rs", "Rust", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\sorted_merge_iterator.rs", "Rust", 20, 0, 0, 0, 0, 0, 0, -3, 17
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\tests\mod.rs", "Rust", -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\tests\test_query_engine.rs", "Rust", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\query_engine\vectorized_query.rs", "Rust", 1, 0, 0, 0, 0, 0, 0, -2, -1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\runtime_orchestrator.rs", "Rust", 85, 0, 0, 0, 0, 0, -12, 9, 82
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\snapshot_engine.rs", "Rust", -16, 0, 0, 0, 0, 0, 0, 1, -15
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\snapshot_serializer.rs", "Rust", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\snapshot_store.rs", "Rust", -1, 0, 0, 0, 0, 0, 0, 1, 0
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\tests\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\runtime-core\src\snapshot_engine\tests\test_snapshot_engine.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, 1, 7
