"filename", "language", "Rust", "Markdown", "JSON with Comments", "TypeScript JSX", "C++", "C#", "JSON", "pip requirements", "Python", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\cli\src\commands\doctor.rs", "Rust", 357, 0, 0, 0, 0, 0, 0, 0, 0, 69, 59, 485
"c:\Users\ankit\Downloads\xace\packages\cli\src\commands\mod.rs", "Rust", 64, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 83
"c:\Users\ankit\Downloads\xace\packages\cli\src\commands\run.rs", "Rust", 60, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 81
"c:\Users\ankit\Downloads\xace\packages\cli\src\commands\test.rs", "Rust", 161, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 204
"c:\Users\ankit\Downloads\xace\packages\cli\src\config.rs", "Rust", 190, 0, 0, 0, 0, 0, 0, 0, 0, 56, 34, 280
"c:\Users\ankit\Downloads\xace\packages\cli\src\error.rs", "Rust", 184, 0, 0, 0, 0, 0, 0, 0, 0, 34, 42, 260
"c:\Users\ankit\Downloads\xace\packages\cli\src\main.rs", "Rust", 74, 0, 0, 0, 0, 0, 0, 0, 0, 44, 23, 141
"c:\Users\ankit\Downloads\xace\packages\cli\src\python_bridge.rs", "Rust", 233, 0, 0, 0, 0, 0, 0, 0, 0, 85, 43, 361
"c:\Users\ankit\Downloads\xace\packages\cli\tests\test_build.rs", "Rust", 85, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 106
"c:\Users\ankit\Downloads\xace\packages\cli\tests\test_doctor.rs", "Rust", 84, 0, 0, 0, 0, 0, 0, 0, 0, 14, 10, 108
"c:\Users\ankit\Downloads\xace\packages\core\src\assets\asset_reference.rs", "Rust", 122, 0, 0, 0, 0, 0, 0, 0, 0, 84, 27, 233
"c:\Users\ankit\Downloads\xace\packages\core\src\assets\asset_status.rs", "Rust", 119, 0, 0, 0, 0, 0, 0, 0, 0, 88, 26, 233
"c:\Users\ankit\Downloads\xace\packages\core\src\assets\asset_type.rs", "Rust", 133, 0, 0, 0, 0, 0, 0, 0, 0, 77, 30, 240
"c:\Users\ankit\Downloads\xace\packages\core\src\assets\mod.rs", "Rust", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\ankit\Downloads\xace\packages\core\src\contracts\interfaces.rs", "Rust", 314, 0, 0, 0, 0, 0, 0, 0, 0, 399, 109, 822
"c:\Users\ankit\Downloads\xace\packages\core\src\contracts\mod.rs", "Rust", 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 20
