"filename", "language", "JSON with Comments", "Markdown", "JSON", "C++", "C#", "Python", "Rust", "TypeScript JSX", "pip requirements", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\ankit\Downloads\xace\packages\asset-runtime\src\hot_reload\version_hasher.rs", "Rust", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 27, 8, 60
"c:\Users\ankit\Downloads\xace\packages\asset-runtime\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 54, 22, 135
"c:\Users\ankit\Downloads\xace\packages\asset-runtime\src\streaming\asset_streamer.rs", "Rust", 0, 0, 0, 0, 0, 0, 219, 0, 0, 0, 0, 82, 41, 342
"c:\Users\ankit\Downloads\xace\packages\asset-runtime\src\streaming\load_request.rs", "Rust", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 34, 28, 151
"c:\Users\ankit\Downloads\xace\packages\asset-runtime\src\streaming\load_result.rs", "Rust", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 25, 14, 107
"c:\Users\ankit\Downloads\xace\packages\asset-runtime\src\streaming\mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ankit\Downloads\xace\packages\asset-runtime\src\streaming\priority_queue.rs", "Rust", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 25, 13, 87
"c:\Users\ankit\Downloads\xace\packages\asset-runtime\tests\test_cdn_adapter.rs", "Rust", 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 16, 25, 147
"c:\Users\ankit\Downloads\xace\packages\asset-runtime\tests\test_hot_reload_determinism.rs", "Rust", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 35, 37, 210
"c:\Users\ankit\Downloads\xace\packages\asset-runtime\tests\test_streaming.rs", "Rust", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 14, 39, 233
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 202, 4, 23, 229
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\layout\main_layout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 486, 0, 47, 49, 582
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\ollama_adapter.py", "Python", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 70, 34, 281
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\package-lock.json", "JSON", 0, 0, 1041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1042
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\package.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\builder_server.py", "Python", 0, 0, 0, 0, 0, 420, 0, 0, 0, 0, 0, 87, 55, 562
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\cgs_persistence.py", "Python", 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 0, 95, 43, 342
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\ollama_adapter.py", "Python", 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 0, 11, 26, 176
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\session_manager.py", "Python", 0, 0, 0, 0, 0, 831, 0, 0, 0, 0, 0, 144, 157, 1132
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\server\ws_message_router.py", "Python", 0, 0, 0, 0, 0, 363, 0, 0, 0, 0, 0, 69, 71, 503
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\api\builder_client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 49, 56, 326
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\api\message_types.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 177, 0, 54, 35, 266
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\app.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 27, 19, 174
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\canvas\builder_canvas.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 271, 0, 53, 55, 379
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\canvas\clarification_cards.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 384, 0, 23, 29, 436
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\canvas\diff_viewer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 22, 33, 310
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\canvas\model_selector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 281, 0, 8, 32, 321
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\canvas\prompt_input.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 306, 0, 34, 38, 378
"c:\Users\ankit\Downloads\xace\packages\builder-workspace\src\command_palette\command_palette.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 20, 28, 297
